eye	startTime	endTime	duration	positionX	positionY	
1	7481518080	0	0	1181.130004882812	753.5599975585938	
-1	7481518080	0	0	1181.130004882812	753.5599975585938	
1	7481518080	7481659904	141864	1183.359985351562	751.52001953125	
-1	7481518080	7481659904	141864	1183.359985351562	751.52001953125	
1	7481873920	0	0	1446.619995117188	955.4099731445312	
-1	7481873920	0	0	1446.619995117188	955.4099731445312	
1	7481873920	7481997824	124132	1440.910034179688	953.0599975585938	
-1	7481873920	7481997824	124132	1440.910034179688	953.0599975585938	
1	7482037760	0	0	806.1300048828125	691.0499877929688	
-1	7482037760	0	0	806.1300048828125	691.0499877929688	
1	7482037760	7482213888	176128	805.3699951171875	695.1799926757812	
-1	7482037760	7482213888	176128	805.3699951171875	695.1799926757812	
1	7482215936	0	0	805.4600219726562	697.5499877929688	
-1	7482215936	0	0	805.4600219726562	697.5499877929688	
1	7482215936	7482872320	656216	803.3499755859375	709.3599853515625	
-1	7482215936	7482872320	656216	803.3499755859375	709.3599853515625	
-1	7482918400	0	0	1289.880004882812	1071.579956054688	
1	7482918400	0	0	1289.880004882812	1071.579956054688	
-1	7482918400	7483004416	86098	1290.2900390625	1072.2099609375	
1	7482918400	7483004416	86098	1290.2900390625	1072.2099609375	
1	7483006464	0	0	1295.079956054688	1079.93994140625	
-1	7483006464	0	0	1295.079956054688	1079.93994140625	
-1	7483006464	7483302400	296146	1296.680053710938	1077.02001953125	
1	7483006464	7483302400	296146	1296.680053710938	1077.02001953125	
-1	7483322368	0	0	1275.339965820312	726.6599731445312	
1	7483322368	0	0	1275.339965820312	726.6599731445312	
-1	7483322368	7483412480	90011	1275.829956054688	725.3800048828125	
1	7483322368	7483412480	90011	1275.829956054688	725.3800048828125	
-1	7483414528	0	0	1288.489990234375	713.6599731445312	
1	7483414528	0	0	1288.489990234375	713.6599731445312	
-1	7483414528	7483654656	240097	1287.47998046875	710.7999877929688	
1	7483414528	7483654656	240097	1287.47998046875	710.7999877929688	
1	7483672576	0	0	1367.4599609375	447.3299865722656	
-1	7483672576	0	0	1367.4599609375	447.3299865722656	
-1	7483672576	7483802624	130109	1364.9599609375	442.3299865722656	
1	7483672576	7483802624	130109	1364.9599609375	442.3299865722656	
-1	7483804672	0	0	1354.9599609375	435.8500061035156	
1	7483804672	0	0	1354.9599609375	435.8500061035156	
1	7483804672	7484154880	350095	1359.760009765625	423.9700012207031	
-1	7483804672	7484154880	350095	1359.760009765625	423.9700012207031	
1	7484190720	0	0	783	482.4299926757812	
-1	7484190720	0	0	783	482.4299926757812	
1	7484190720	7484487680	296687	779.1799926757812	481.739990234375	
-1	7484190720	7484487680	296687	779.1799926757812	481.739990234375	
1	7484531200	0	0	320.260009765625	814.2100219726562	
-1	7484531200	0	0	320.260009765625	814.2100219726562	
1	7484531200	7484857344	326121	316.3299865722656	817.719970703125	
-1	7484531200	7484857344	326121	316.3299865722656	817.719970703125	
-1	7485215232	0	0	779.5599975585938	911.6099853515625	
1	7485215232	0	0	779.5599975585938	911.6099853515625	
-1	7485215232	7485531648	316217	785.6599731445312	917.2000122070312	
1	7485215232	7485531648	316217	785.6599731445312	917.2000122070312	
1	7485557760	0	0	1211.890014648438	1062.109985351562	
-1	7485557760	0	0	1211.890014648438	1062.109985351562	
-1	7485557760	7485743616	185955	1214.760009765625	1065.910034179688	
1	7485557760	7485743616	185955	1214.760009765625	1065.910034179688	
1	7486045696	0	0	1371.339965820312	506.6199951171875	
-1	7486045696	0	0	1371.339965820312	506.6199951171875	
-1	7486045696	7486422016	376112	1377.719970703125	513.3699951171875	
1	7486045696	7486422016	376112	1377.719970703125	513.3699951171875	
1	7486459904	0	0	1098.780029296875	293.0899963378906	
-1	7486459904	0	0	1098.780029296875	293.0899963378906	
1	7486459904	7486563840	103989	1096.390014648438	291.5	
1	7481518080	0	0	1181.130004882812	753.5599975585938	
-1	7481518080	0	0	1181.130004882812	753.5599975585938	
1	7481518080	7481659904	141864	1183.359985351562	751.52001953125	
-1	7481518080	7481659904	141864	1183.359985351562	751.52001953125	
1	7481873920	0	0	1446.619995117188	955.4099731445312	
-1	7481873920	0	0	1446.619995117188	955.4099731445312	
1	7481873920	7481997824	124132	1440.910034179688	953.0599975585938	
-1	7481873920	7481997824	124132	1440.910034179688	953.0599975585938	
1	7482037760	0	0	806.1300048828125	691.0499877929688	
-1	7482037760	0	0	806.1300048828125	691.0499877929688	
1	7482037760	7482213888	176128	805.3699951171875	695.1799926757812	
-1	7482037760	7482213888	176128	805.3699951171875	695.1799926757812	
1	7482215936	0	0	805.4600219726562	697.5499877929688	
-1	7482215936	0	0	805.4600219726562	697.5499877929688	
1	7482215936	7482872320	656216	803.3499755859375	709.3599853515625	
-1	7482215936	7482872320	656216	803.3499755859375	709.3599853515625	
-1	7482918400	0	0	1289.880004882812	1071.579956054688	
1	7482918400	0	0	1289.880004882812	1071.579956054688	
-1	7482918400	7483004416	86098	1290.2900390625	1072.2099609375	
1	7482918400	7483004416	86098	1290.2900390625	1072.2099609375	
1	7483006464	0	0	1295.079956054688	1079.93994140625	
-1	7483006464	0	0	1295.079956054688	1079.93994140625	
-1	7483006464	7483302400	296146	1296.680053710938	1077.02001953125	
1	7483006464	7483302400	296146	1296.680053710938	1077.02001953125	
-1	7483322368	0	0	1275.339965820312	726.6599731445312	
1	7483322368	0	0	1275.339965820312	726.6599731445312	
-1	7483322368	7483412480	90011	1275.829956054688	725.3800048828125	
1	7483322368	7483412480	90011	1275.829956054688	725.3800048828125	
-1	7483414528	0	0	1288.489990234375	713.6599731445312	
1	7483414528	0	0	1288.489990234375	713.6599731445312	
-1	7483414528	7483654656	240097	1287.47998046875	710.7999877929688	
1	7483414528	7483654656	240097	1287.47998046875	710.7999877929688	
1	7483672576	0	0	1367.4599609375	447.3299865722656	
-1	7483672576	0	0	1367.4599609375	447.3299865722656	
-1	7483672576	7483802624	130109	1364.9599609375	442.3299865722656	
1	7483672576	7483802624	130109	1364.9599609375	442.3299865722656	
-1	7483804672	0	0	1354.9599609375	435.8500061035156	
1	7483804672	0	0	1354.9599609375	435.8500061035156	
1	7483804672	7484154880	350095	1359.760009765625	423.9700012207031	
-1	7483804672	7484154880	350095	1359.760009765625	423.9700012207031	
1	7484190720	0	0	783	482.4299926757812	
-1	7484190720	0	0	783	482.4299926757812	
1	7484190720	7484487680	296687	779.1799926757812	481.739990234375	
-1	7484190720	7484487680	296687	779.1799926757812	481.739990234375	
1	7484531200	0	0	320.260009765625	814.2100219726562	
-1	7484531200	0	0	320.260009765625	814.2100219726562	
1	7484531200	7484857344	326121	316.3299865722656	817.719970703125	
-1	7484531200	7484857344	326121	316.3299865722656	817.719970703125	
-1	7485215232	0	0	779.5599975585938	911.6099853515625	
1	7485215232	0	0	779.5599975585938	911.6099853515625	
-1	7485215232	7485531648	316217	785.6599731445312	917.2000122070312	
1	7485215232	7485531648	316217	785.6599731445312	917.2000122070312	
1	7485557760	0	0	1211.890014648438	1062.109985351562	
-1	7485557760	0	0	1211.890014648438	1062.109985351562	
-1	7485557760	7485743616	185955	1214.760009765625	1065.910034179688	
1	7485557760	7485743616	185955	1214.760009765625	1065.910034179688	
